lambda,order,outbound_steps,inbound_steps,total_steps,total_density

0.5,0,20,6,26,39
0.5,1,36,18,54,73
0.5,2,30,7,37,57
0.5,3,33,6,39,53
0.5,4,6,6,12,14
------------------------
0.1,0,54,6,60,32
0.1,1,0,0,0,0
0.1,2,70,7,77,51
0.1,3,73,8,81,41
0.1,4,6,6,12,14
------------------------
0.2,0,46,6,52,33
0.2,1,79,18,97,60
0.2,2,30,7,37,57
0.2,3,73,8,81,41
0.2,4,6,6,12,14
------------------------
0.15,0,46,6,52,33
0.15,1,79,18,97,60
0.15,2,30,7,37,57
0.15,3,73,8,81,41
0.15,4,6,6,12,14
------------------------
0.11,0,54,6,60,32
0.11,1,0,0,0,0
0.11,2,70,7,77,51
0.11,3,73,8,81,41
0.11,4,6,6,12,14
------------------------
0.3,0,20,6,26,39
0.3,1,79,18,97,60
0.3,2,30,7,37,57
0.3,3,33,8,41,52
0.3,4,6,6,12,14
------------------------
0.5,0,20,6,26,39
0.5,1,36,18,54,73
0.5,2,30,7,37,57
0.5,3,33,6,39,53
0.5,4,6,6,12,14
------------------------
0.12,0,54,6,60,32
0.12,1,0,0,0,0
0.12,2,70,7,77,51
0.12,3,73,8,81,41
0.12,4,6,6,12,14
------------------------
0.13,0,46,6,52,33
0.13,1,79,18,97,60
0.13,2,70,7,77,51
0.13,3,73,8,81,41
0.13,4,6,6,12,14
------------------------
0.13,0,36,7,43,24
0.13,1,17,19,36,42
0.13,2,41,16,57,35
0.13,3,26,24,50,47
0.13,4,32,13,45,50
0.13,5,104,7,111,43
0.13,6,71,14,85,21
0.13,7,87,22,109,31
0.13,8,13,5,18,45
0.13,9,3,3,6,20
0.13,10,9,13,22,49
0.13,11,75,30,105,30
0.13,12,63,5,68,42
0.13,13,0,0,0,0
0.13,14,69,9,78,37
0.13,15,41,3,44,38
0.13,16,39,39,78,24
0.13,17,39,10,49,48
0.13,18,105,4,109,22
0.13,19,5,5,10,12
------------------------
0.14,0,36,7,43,24
0.14,1,17,19,36,42
0.14,2,41,16,57,35
0.14,3,26,9,35,49
0.14,4,32,13,45,50
0.14,5,104,7,111,43
0.14,6,71,14,85,21
0.14,7,87,22,109,31
0.14,8,13,5,18,45
0.14,9,3,3,6,20
0.14,10,9,13,22,49
0.14,11,75,30,105,30
0.14,12,63,5,68,42
0.14,13,0,0,0,0
0.14,14,69,9,78,37
0.14,15,41,3,44,38
0.14,16,39,39,78,24
0.14,17,39,10,49,48
0.14,18,105,4,109,22
0.14,19,5,5,10,12
------------------------
0.2,0,36,7,43,24
0.2,1,17,19,36,42
0.2,2,41,16,57,35
0.2,3,26,9,35,49
0.2,4,32,13,45,50
0.2,5,104,7,111,43
0.2,6,71,14,85,21
0.2,7,87,22,109,31
0.2,8,13,5,18,45
0.2,9,3,3,6,20
0.2,10,9,13,22,49
0.2,11,75,30,105,30
0.2,12,63,5,68,42
0.2,13,13,7,20,47
0.2,14,69,9,78,37
0.2,15,41,3,44,38
0.2,16,39,39,78,24
0.2,17,39,10,49,48
0.2,18,105,4,109,22
0.2,19,5,5,10,12
------------------------
0.18,0,36,7,43,24
0.18,1,17,19,36,42
0.18,2,41,16,57,35
0.18,3,26,9,35,49
0.18,4,32,13,45,50
0.18,5,104,7,111,43
0.18,6,71,14,85,21
0.18,7,87,22,109,31
0.18,8,13,5,18,45
0.18,9,3,3,6,20
0.18,10,9,13,22,49
0.18,11,75,30,105,30
0.18,12,63,5,68,42
0.18,13,13,7,20,47
0.18,14,69,9,78,37
0.18,15,41,3,44,38
0.18,16,39,39,78,24
0.18,17,39,10,49,48
0.18,18,105,4,109,22
0.18,19,5,5,10,12
------------------------
0.17,0,36,7,43,24
0.17,1,17,19,36,42
0.17,2,41,16,57,35
0.17,3,26,9,35,49
0.17,4,32,13,45,50
0.17,5,104,7,111,43
0.17,6,71,14,85,21
0.17,7,87,22,109,31
0.17,8,13,5,18,45
0.17,9,3,3,6,20
0.17,10,9,13,22,49
0.17,11,75,30,105,30
0.17,12,63,5,68,42
0.17,13,13,7,20,47
0.17,14,69,9,78,37
0.17,15,41,3,44,38
0.17,16,39,39,78,24
0.17,17,39,10,49,48
